Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Website,Founded Date,Founded Date Precision,Industry Groups,Number of Employees,Stock Symbol,Stock Symbol URL,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Aberdeen - Software Spend,Aberdeen - Software Spend Currency,Aberdeen - Software Spend Currency (in USD),Aberdeen - Communications Spend,Aberdeen - Communications Spend Currency,Aberdeen - Communications Spend Currency (in USD),Number of Acquisitions,Acquisition Status,IPqwery - IP Activity Score,G2 Stack - Total Products Active,G2 Stack - Total Product Changes,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,BuiltWith - Tech Changes (%),BuiltWith - Active Tech Count,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Estimated Revenue Range,Operating Status,Last Layoff Mention Date,Aberdeen - Services Spend,Aberdeen - Services Spend Currency,Aberdeen - Services Spend Currency (in USD),Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Lightspeed Commerce,https://www.crunchbase.com/organization/lightspeed-retail,"Business Information Systems, Cloud Management, E-Commerce, Restaurants, Retail Technology","Montréal, Quebec, Canada",Lightspeed is a commerce platform for small and medium business.,http://www.lightspeedhq.com,2005-03-20,day,"Commerce and Shopping, Food and Beverage, Hardware, Information Technology, Internet Services, Software",1001-5000,LSPD,https://www.crunchbase.com/ipo/lightspeed-retail-ipo--a273951d,-0.5,4.1,0.3,24890,USD,24890,6003,USD,6003,1268,USD,1268,13,Made Acquisitions,0.4,49,0%,1,,0%,82,"763,252","1,134,990.67",-19.89%,"86,311","16,182",23.07%,,$500M to $1B,Active,2023-01-17,9496,USD,9496,7,IPO,2021-08-09,716100000,USD,716100000,Post-IPO Equity,1243487955,USD,1243487955
Dark,https://www.crunchbase.com/organization/dark,"Apps, Information Technology, Software","San Francisco, California, United States","Dark is holistic programming language, editor, and hosted infrastructure.",https://darklang.com/,2017-01-01,year,"Apps, Information Technology, Software",1-10,,,-1,-1.4,2.3,,,,,,,,,,,,0.3,15,0%,,,0%,47,"3,337","11,673",6.78%,"3,594,333","-59,944",-1.64%,"San Francisco Bay Area, West Coast, Western US",Less than $1M,Active,,,,,1,Seed,2017-07-15,3500000,USD,3500000,Seed,3500000,USD,3500000
Picsart,https://www.crunchbase.com/organization/picsart,"Graphic Design, Photo Editing, Photography, Software, Video Editing","Miami, Florida, United States",Picsart is a photo and video editing platform and creative community.,http://picsart.com/,2011-01-01,year,"Content and Publishing, Design, Media and Entertainment, Software, Video",1001-5000,,,-0.4,0,-0.5,,,,,,,,,,2,Made Acquisitions,1.8,26,0%,16,"12,615,359",0%,40,"6,051,814","7,048,668.5",-2.41%,"15,655",781,5.25%,"Greater Miami Area, East Coast, Southern US",$50M to $100M,Active,2022-05-17,,,,5,Late Stage Venture,2021-08-26,130000000,USD,130000000,Series C,195000000,USD,195000000
ContraFect,https://www.crunchbase.com/organization/contrafect,"Biotechnology, Health Care, Medical","Yonkers, New York, United States",ContraFect is a biotechnology company researching the use of monoclonal antibodies to treat life-threatening infectious diseases.,http://www.contrafect.com,2008-01-01,year,"Biotechnology, Health Care, Science and Engineering",1-10,CFRXU,https://www.crunchbase.com/ipo/contrafect-ipo--140a7b6f,-0.7,-2.1,5.7,416992,USD,416992,69302,USD,69302,14639,USD,14639,,,2.4,15,0%,,,0%,24,"2,372","5,888.33",-11.39%,"4,264,693","269,010",6.73%,"Greater New York Area, East Coast, Northeastern US",$1M to $10M,Active,2022-08-15,109634,USD,109634,19,IPO,2022-12-13,7000000,USD,7000000,Post-IPO Equity,387833158,USD,387833158
6sense,https://www.crunchbase.com/organization/6sense,"Artificial Intelligence, B2B, Big Data, Business Information Systems, Machine Learning, Marketing, Sales","San Francisco, California, United States",6sense Revenue AI transforms how B2B organizations achieve predictable revenue growth.,http://www.6sense.com,2013-01-01,year,"Artificial Intelligence, Data and Analytics, Information Technology, Other, Sales and Marketing, Science and Engineering, Software",1001-5000,,,-0.2,-0.5,-0.9,186671,USD,186671,34478,USD,34478,6501,USD,6501,5,Made Acquisitions,2.1,34,3.03%,1,,0%,74,"184,458","5,389,670.83",-13.26%,"248,799","32,910",15.24%,"San Francisco Bay Area, West Coast, Western US",$10M to $50M,Active,,71688,USD,71688,8,Late Stage Venture,2022-01-20,200000000,USD,200000000,Series E,426000000,USD,426000000
Homebot,https://www.crunchbase.com/organization/homebot,"Apps, Financial Services, Lending, Real Estate","Denver, Colorado, United States",Homebot is helping homeowners maximize their wealth by working with leaders in the mortgage lending and real estate industries.,https://homebot.ai,2015-11-12,day,"Apps, Financial Services, Real Estate, Software",101-250,,,-0.1,-0.3,0.4,118589,USD,118589,19709,USD,19709,4163,USD,4163,1,"Made Acquisitions, Was Acquired",1.4,25,-3.85%,,,0%,17,"101,112","91,846.17",28.77%,"386,328","-56,300",-12.72%,"Greater Denver Area, Western US",,Active,,31179,USD,31179,1,M&A,2017-10-11,4500000,USD,4500000,Seed,4500000,USD,4500000
Ribbon Finance,https://www.crunchbase.com/organization/ribbon-finance,"Blockchain, Cryptocurrency, Finance","San Francisco, California, United States",Ribbon Finance creates structured products that deliver sustainable yield using financial engineering for DeFi.,https://www.ribbon.finance,,,"Financial Services, Other, Payments, Software",,,,-0.1,-1.1,-2.6,,,,,,,,,,,,,,,,,0%,56,,,,,,,"San Francisco Bay Area, West Coast, Western US",,Active,,,,,2,,2022-03-22,8800000,USD,8800000,Venture - Series Unknown,8800000,USD,8800000
Welkin Health,https://www.crunchbase.com/organization/welkin-health,"Computer, Health Care, Software","San Francisco, California, United States","Welkin Health is a care management platform that supports a continuum of care for preventative, follow-up and chronic care management",https://www.welkinhealth.com/,2013-07-01,day,"Consumer Electronics, Hardware, Health Care, Software",11-50,,,0.5,0,2.8,,,,,,,,,,,,0,36,0%,3,,0%,45,"10,034","11,333.17",25.44%,"1,835,751","-194,569",-9.58%,"San Francisco Bay Area, West Coast, Western US",,Active,2020-09-13,,,,6,Early Stage Venture,2019-05-29,17500000,USD,17500000,Series B,29000000,USD,29000000
BitTitan,https://www.crunchbase.com/organization/bittitan-2,"Cloud Data Services, Cloud Management, Cloud Security, Information Technology, SaaS, Software","Bellevue, Washington, United States",BitTitan empowers IT service professionals to successfully deploy and manage cloud technologies through automation.,https://www.bittitan.com/,2007-01-01,year,"Information Technology, Internet Services, Privacy and Security, Software",101-250,,,0.6,0.2,-0.4,14838264,USD,14838264,4712809,USD,4712809,1156480,USD,1156480,1,"Made Acquisitions, Was Acquired",1.7,56,1.82%,,,0%,60,"225,326","367,793.5",-1.71%,"215,019","10,578",5.17%,"Greater Seattle Area, West Coast, Western US",$10M to $50M,Active,2021-11-18,4033181,USD,4033181,3,M&A,2021-06-15,30969823,USD,30969823,Series C,45969823,USD,45969823
CLEAR,https://www.crunchbase.com/organization/clearme,"Biometrics, Facial Recognition, Identity Management, Security","New York, New York, United States",CLEAR is an identity company that uses biometrics to build a connected world that’s smarter and more secure.,http://www.clearme.com,2010-11-01,month,"Biotechnology, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",1001-5000,YOU,https://www.crunchbase.com/ipo/clearme-ipo--5d89701f,-0.4,-0.4,-0.8,,,,,,,,,,1,Made Acquisitions,2.6,29,3.57%,,,0%,26,"1,400,776","1,509,154.83",-14.09%,"53,710","7,871",17.17%,"Greater New York Area, East Coast, Northeastern US",$100M to $500M,Active,,,,,6,IPO,2021-02-08,100000000,USD,100000000,Private Equity,135000000,USD,135000000
Electric,https://www.crunchbase.com/organization/electric,"Information Technology, Network Security, SaaS, Technical Support","New York, New York, United States",Electric manages IT and real-time IT support for the team through a centralized SaaS app.,https://www.electric.ai,2016-09-01,day,"Information Technology, Other, Privacy and Security, Software",501-1000,,,-0.6,1.1,1.8,,,,,,,,,,2,Made Acquisitions,0.4,74,0%,,,0%,91,"88,677","105,406",9.04%,"425,411","-6,324",-1.46%,"Greater New York Area, East Coast, Northeastern US",$1M to $10M,Active,,,,,9,Late Stage Venture,2022-03-29,23350001,USD,23350001,Series D,212100001,USD,212100001
Wonder,https://www.crunchbase.com/organization/wonder-0071,"Meeting Software, Social Media, Video Chat","Berlin, Berlin, Germany",Wonder is a virtual space where people can meet and talk.,https://www.wonder.me,2020-01-01,year,"Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software",1-10,,,-0.1,-0.4,-0.3,,,,,,,,,,,,0.4,18,-5.26%,,,0%,39,"31,033","67,873.5",-51.09%,"888,764","373,690",72.55%,European Union (EU),$1M to $10M,Active,,,,,2,Seed,2020-12-07,11000000,USD,11000000,Seed,12200000,USD,12200000
PharmEasy,https://www.crunchbase.com/organization/pharm-easy,"Health Care, Health Diagnostics, Pharmaceutical, Wellness","Mumbai, Maharashtra, India","PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.",http://pharmeasy.in,2015-01-01,year,Health Care,1001-5000,,,-0.6,-2.1,-1,,,,,,,,,,3,Made Acquisitions,,56,0%,6,"31,927",0%,90,"9,812,816","8,331,986",12.37%,"10,166",-763,-6.98%,Asia-Pacific (APAC),$10B+,Active,2022-12-10,,,,14,Private Equity,2022-11-07,,,,Debt Financing,1586538857,USD,1586538857
IRL,https://www.crunchbase.com/organization/irl-app,"Apps, Mobile Apps, Social, Social Media, Social Network","San Francisco, California, United States","Groups, Chats, Events",https://www.irl.com/,2019-01-01,year,"Apps, Community and Lifestyle, Internet Services, Media and Entertainment, Mobile, Software",101-250,,,-0.7,-0.9,-0.1,,,,,,,,,,1,Made Acquisitions,,,,1,"93,971",0%,10,"90,470","641,556.33",-57.49%,"419,387","203,605",94.36%,"San Francisco Bay Area, West Coast, Western US",,Active,2022-06-02,,,,4,Late Stage Venture,2021-06-15,170000000,USD,170000000,Series C,197000000,USD,197000000
Divvy Homes,https://www.crunchbase.com/organization/divvy-homes,"Financial Services, Real Estate, Rental Property","San Francisco, California, United States",Divvy Homes is a tech-enabled real estate platform that facilitates rent-to-own home purchases.,https://www.divvyhomes.com/,2017-01-01,year,"Financial Services, Real Estate",251-500,,,-0.7,-1.6,2.2,,,,,,,,,,,,0.7,25,13.64%,,,0%,28,"864,971","1,104,589",-30.73%,"78,380","21,642",38.14%,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,Active,2022-09-28,,,,7,Late Stage Venture,2021-10-12,735000000,USD,735000000,Debt Financing,1225000000,USD,1225000000
Mural,https://www.crunchbase.com/organization/mural-ly,"B2B, Collaboration, Enterprise Applications, Enterprise Software, Product Design, Product Management, Software, UX Design","San Francisco, California, United States","Mural is a collaborative intelligence company generating effective ideation, innovation, alignment, and team building.",https://www.mural.co,2011-01-01,year,"Apps, Design, Other, Software",501-1000,,,-0.5,-1.3,-0.2,782814,USD,782814,125310,USD,125310,23627,USD,23627,1,Made Acquisitions,,62,0%,3,"7,460",0%,7,"2,228,103","2,610,832.83",-29.88%,"36,704","10,311",39.07%,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,Active,,260547,USD,260547,5,Late Stage Venture,2021-07-20,50000000,USD,50000000,Series C,192275000,USD,192275000
Kodiak Robotics,https://www.crunchbase.com/organization/kodiak-robotics-inc,"Autonomous Vehicles, Logistics, Robotics, Software, Transportation","Mountain View, California, United States",Kodiak Robotics develops autonomous technology for long-haul trucking.,http://www.kodiak.ai,2018-04-01,month,"Hardware, Science and Engineering, Software, Transportation",101-250,,,-1.5,-2.4,-1.5,606202,USD,606202,100747,USD,100747,21282,USD,21282,,,,15,-11.76%,,,0%,44,"12,598","10,925.5",-26.24%,"1,598,357","306,514",23.73%,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,Active,2020-04-17,159381,USD,159381,6,Early Stage Venture,2022-12-06,49900000,USD,49900000,Grant,244900000,USD,244900000
UPshow,https://www.crunchbase.com/organization/upshow,"Digital Signage, Marketing, SaaS, Software","Chicago, Illinois, United States",UPshow is transforming what people experience on the shared televisions of the world,http://www.upshow.tv,2015-01-01,year,"Sales and Marketing, Software",11-50,,,-0.3,-0.1,-0.2,,,,,,,,,,,,0.7,23,-4.17%,3,,0%,80,"31,969","28,822",71.37%,"870,764","-352,707",-28.83%,"Greater Chicago Area, Great Lakes, Midwestern US",$1M to $10M,Active,,,,,4,Early Stage Venture,2021-09-30,10000000,USD,10000000,Debt Financing,27000000,USD,27000000
Kitty Hawk,https://www.crunchbase.com/organization/kitty-hawk,"Aerospace, Air Transportation, Automotive, Logistics","Mountain View, California, United States","Kitty Hawk is an aerospace company that manufactures eVTOL vehicles that makes airtaxis affordable, ubiquitous, and eco-conscious.",https://kittyhawk.aero/,2010-01-01,year,"Science and Engineering, Transportation",11-50,,,0.1,-0.2,-1.9,,,,,,,,,,1,Made Acquisitions,2.9,10,0%,,,0%,40,"7,116","12,460.67",-29.84%,"2,207,684","437,366",24.71%,"San Francisco Bay Area, Silicon Valley, West Coast",$10M to $50M,Active,2022-09-27,,,,2,,2017-03-01,1000000,USD,1000000,Grant,1000000,USD,1000000
Twine Solutions,https://www.crunchbase.com/organization/twine-solutions,"Information Technology, Printing, Textiles","Petah Tiqva, HaMerkaz, Israel",Twine Solutions is a textile technology startup.,http://twine-s.com/,2015-01-01,year,"Content and Publishing, Information Technology, Manufacturing, Media and Entertainment",51-100,,,-0.1,5.8,6.1,,,,,,,,,,,,2,17,0%,,,0%,49,"2,059",,983.68%,"4,546,586","-5,052,039",-52.63%,,,Active,2023-01-09,,,,2,,2021-05-19,28000000,USD,28000000,Venture - Series Unknown,50000000,USD,50000000
Houzz,https://www.crunchbase.com/organization/houzz,"Architecture, E-Commerce, Home Improvement, Home Renovation, Interior Design, Smart Home","Palo Alto, California, United States","Houzz is an online platform for home remodeling, architecture, interior design, decorating, landscaping, and home improvement.",http://www.houzz.com,2009-01-01,year,"Commerce and Shopping, Consumer Electronics, Design, Real Estate",1001-5000,,,-0.5,-1,3.8,4851192,USD,4851192,806240,USD,806240,170313,USD,170313,3,Made Acquisitions,2.3,39,0%,6,"326,105",0%,74,"9,762,454","12,859,202.5",-10.42%,"10,210","1,304",14.64%,"San Francisco Bay Area, Silicon Valley, West Coast",,Active,2022-12-20,1275459,USD,1275459,8,,2021-01-03,,,,Venture - Series Unknown,613600000,USD,613600000
Preply,https://www.crunchbase.com/organization/preply,"E-Learning, EdTech, Education, Language Learning, Tutoring","Brookline, Massachusetts, United States",Preply is an online language learning marketplace connecting tutors teaching 50 languages to hundreds of thousands of learners.,https://preply.com,2012-01-01,year,"Education, Software",251-500,,,-0.2,4.2,4.9,1221059,USD,1221059,202933,USD,202933,42868,USD,42868,,,1.7,59,0%,,,0%,74,"12,751,309","14,174,212",-5.45%,"7,989",738,10.18%,"Greater Boston Area, East Coast, New England",$1M to $10M,Active,,321037,USD,321037,8,Late Stage Venture,2022-03-30,49450983,USD,49450983,Series C,100087289,USD,100087289
HealthMatch,https://www.crunchbase.com/organization/healthmatch,"Biotechnology, Health Care, Machine Learning, Medical, Pharmaceutical","Sydney, New South Wales, Australia",HealthMatch connects patients with revolutionary drugs and cures.,https://healthmatch.io,2017-01-01,month,"Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1-10,,,-0.1,-0.4,-1.2,,,,,,,,,,,,,40,0%,,,0%,4,"1,412,761","679,038.17",30.92%,"53,319","-10,384",-16.3%,"Asia-Pacific (APAC), Australasia",,Active,2022-06-29,,,,5,Late Stage Venture,2022-09-12,10000000,AUD,6893119,Series C,27529861,USD,27529861
Cameo,https://www.crunchbase.com/organization/cameo-3,"Information Technology, Marketplace, Media and Entertainment, Social Media","Chicago, Illinois, United States",Cameo is a marketplace where fans can book personalized video shoutouts from their favorite people.,https://www.cameo.com,2017-01-01,year,"Commerce and Shopping, Information Technology, Internet Services, Media and Entertainment",251-500,,,-0.9,-2,-0.2,,,,,,,,,,1,Made Acquisitions,1.9,32,0%,,,0%,19,"6,199,042","6,354,128.5",28.51%,"15,340","-3,212",-17.31%,"Greater Chicago Area, Great Lakes, Midwestern US",$10M to $50M,Active,2022-11-09,,,,5,Late Stage Venture,2021-03-30,100000000,USD,100000000,Series C,165710000,USD,165710000
Back Market,https://www.crunchbase.com/organization/back-market,"Consumer Electronics, E-Commerce, Marketplace","Paris, Ile-de-France, France",Back Market is an online marketplace for refurbished electronics.,https://www.backmarket.com,2014-01-01,year,"Commerce and Shopping, Consumer Electronics, Hardware",501-1000,,,-0.3,-1.1,4.1,,,,,,,,,,,,,12,0%,,,0%,139,"6,671,840","8,308,426",-18.17%,"14,370","2,769",23.87%,European Union (EU),$10M to $50M,Active,,,,,6,Late Stage Venture,2022-01-11,510000000,USD,510000000,Series E,1021355675,USD,1021355675
F5,https://www.crunchbase.com/organization/f5-networks,"Consumer Electronics, SaaS, Security, Virtualization","Seattle, Washington, United States",F5 Networks provides application security and delivery tools.,https://www.f5.com,1996-02-01,day,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software",5001-10000,FFIV,https://www.crunchbase.com/ipo/f5-networks-ipo--918f79eb,7.8,7.4,6.3,181384519,USD,181384519,30145068,USD,30145068,6367930,USD,6367930,13,Made Acquisitions,2.7,52,1.96%,8,"15,206",0%,115,"1,151,535","2,341,444.83",-3.26%,"62,509","3,506",5.94%,"Greater Seattle Area, West Coast, Western US",$500M to $1B,Active,2022-10-21,47688984,USD,47688984,2,IPO,2020-11-08,,,,Post-IPO Equity,,USD,
iPrice Group,https://www.crunchbase.com/organization/iprice,"Coupons, E-Commerce, Shopping","Kuala Lumpur, Kuala Lumpur, Malaysia","IPrice was set up to offer shoppers the widest selection of products and brands, provided by their partners.",http://iprice.my,2014-01-01,year,Commerce and Shopping,251-500,,,-0.1,-0.1,-1.2,,,,,,,,,,,,,26,0%,,,0%,11,"558,337","604,195.33",18.85%,"109,495","-10,858",-9.02%,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,Active,2022-06-08,,,,11,,2022-03-23,,,,Venture - Series Unknown,26250000,USD,26250000
Pleo,https://www.crunchbase.com/organization/pleo-company,"Financial Services, FinTech, Information Technology, Mobile Payments, Payments","Copenhagen, Hovedstaden, Denmark",Pleo offers smart payment cards for employees to buy work-related products while keeping the company in control of spending.,https://www.pleo.io,2015-03-01,month,"Financial Services, Information Technology, Mobile, Payments, Software",501-1000,,,-0.2,-1.2,0.9,,,,,,,,,,,,0,23,9.52%,1,"6,552",0%,61,"231,629","325,403.17",-21.31%,"210,022","40,008",23.53%,"European Union (EU), Nordic Countries, Scandinavia",,Active,2022-11-04,,,,6,Late Stage Venture,2021-12-09,200000000,USD,200000000,Series C,428059636,USD,428059636
Quidax,https://www.crunchbase.com/organization/quidax,"Bitcoin, Blockchain, Cryptocurrency, FinTech, Stock Exchanges","San Gwann, NA - Malta, Malta",Quidax is a digital assets exchange that allows users seamlessly buy and sell cryptocurrency with their local currency.,https://www.quidax.com,2017-07-17,day,"Financial Services, Lending and Investments, Other, Payments, Software",11-50,,,0.1,-1.8,-0.6,,,,,,,,,,,,,19,0%,,,0%,52,"21,931","491,932.17",-59.69%,"1,202,485","628,065",109.34%,European Union (EU),$1M to $10M,Active,2022-11-24,,,,3,,2021-05-24,3000000,USD,3000000,Initial Coin Offering,3620000,USD,3620000
Chargebee,https://www.crunchbase.com/organization/chargebee,"Billing, E-Commerce, Payments, SaaS, Subscription Service","San Francisco, California, United States",Chargebee provides subscription and recurring billing systems for SaaS and e-commerce businesses.,https://www.chargebee.com,2011-06-15,day,"Commerce and Shopping, Financial Services, Other, Payments, Software",1001-5000,,,-0.3,-0.8,-0.9,292163,USD,292163,48556,USD,48556,10257,USD,10257,3,Made Acquisitions,1.3,87,0%,,,0%,100,"1,625,060","2,812,346",-20.27%,"47,575","9,547",25.11%,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,Active,2022-11-02,76815,USD,76815,8,Late Stage Venture,2022-02-01,250000000,USD,250000000,Series H,468170000,USD,468170000
OwnBackup,https://www.crunchbase.com/organization/ownbackup,"Cloud Computing, Cloud Security, Data Storage, Enterprise Software, SaaS","Englewood Cliffs, New Jersey, United States",OwnBackup provides backup and recovery solutions for companies that use Salesforce.,https://www.ownbackup.com,2012-01-01,year,"Hardware, Information Technology, Internet Services, Privacy and Security, Software",251-500,,,-0.1,1.5,4.9,3388851,USD,3388851,563208,USD,563208,118974,USD,118974,2,Made Acquisitions,1.3,35,-2.78%,,,0%,56,"75,286","92,972.33",13.85%,"477,793","-22,619",-4.52%,"Greater New York Area, East Coast, Northeastern US",$1M to $10M,Active,2022-11-16,890985,USD,890985,8,Late Stage Venture,2021-08-10,240000000,USD,240000000,Series E,507250000,USD,507250000
HashiCorp,https://www.crunchbase.com/organization/hashicorp,"Cloud Infrastructure, Cyber Security, Information Technology, Private Cloud, Software","San Francisco, California, United States","HashiCorp is a remote-first company that solves development, security, and operations challenges in infrastructure.",https://www.hashicorp.com,2012-01-01,year,"Hardware, Information Technology, Internet Services, Privacy and Security, Software",1001-5000,HCP,https://www.crunchbase.com/ipo/hashicorp-ipo--3d421d66,-1.1,-2.4,-0.8,5354914,USD,5354914,889956,USD,889956,187997,USD,187997,1,Made Acquisitions,2.1,39,0%,,,0%,82,"1,783,443","1,646,753",-9.24%,"44,053","4,867",12.42%,"San Francisco Bay Area, West Coast, Western US",$50M to $100M,Active,,1407895,USD,1407895,7,IPO,2021-03-01,,,,Secondary Market,349175000,USD,349175000
Doma,https://www.crunchbase.com/organization/states-title,"Artificial Intelligence, Commercial Real Estate, InsurTech, Machine Learning, Real Estate","San Francisco, California, United States",Doma is an insurtech platform that uses machine intelligence to remove friction from residential real estate transactions.,https://www.doma.com,2016-09-01,month,"Artificial Intelligence, Data and Analytics, Financial Services, Real Estate, Science and Engineering, Software",251-500,DOMA,https://www.crunchbase.com/ipo/states-title-ipo--4d3c9516,-0.8,-1.1,3.7,,,,,,,,,,1,Made Acquisitions,1.4,28,-3.45%,,,0%,92,"19,824","29,022.5",16.95%,"1,262,732","-35,315",-2.72%,"San Francisco Bay Area, West Coast, Western US",$100M to $500M,Active,2022-12-07,,,,8,IPO,2021-07-29,300000000,USD,300000000,Post-IPO Equity,679615152,USD,679615152
Just Eat Takeaway,https://www.crunchbase.com/organization/takeaway-com,"Delivery, Food and Beverage, Food Delivery, Restaurants","Toronto, Ontario, Canada",Just Eat Takeaway operates as an online food delivery marketplace that focuses on connecting consumers and restaurants through its platform.,https://www.justeattakeaway.com/,2000-01-01,year,"Administrative Services, Food and Beverage, Transportation",1001-5000,TKWY,https://www.crunchbase.com/ipo/takeaway-com-ipo--bae77a9c,-0.4,2.1,0.5,,,,,,,,,,13,"Made Acquisitions, Was Acquired",1.5,15,0%,0,,0%,57,"9,427,272","4,131,817.5",94.68%,"10,565","-7,906",-42.8%,Great Lakes,$100M to $500M,Active,2022-11-24,,,,5,M&A,2021-08-12,549000000,USD,549000000,Post-IPO Equity,2763981589,USD,2763981589
Cybereason,https://www.crunchbase.com/organization/cybereason,"Cyber Security, Enterprise Software, Intrusion Detection, Network Security, Real Time","Boston, Massachusetts, United States",Cybereason is an endpoint detection and response platform that identifies cyber attacks for effective response.,http://www.cybereason.com,2012-01-01,year,"Information Technology, Other, Privacy and Security, Software",1001-5000,,,4,4.3,-1.9,1405161,USD,1405161,233530,USD,233530,49331,USD,49331,1,Made Acquisitions,2.2,55,-1.79%,,,0%,61,"112,633","81,879.17",17.75%,"357,583","-27,199",-7.07%,"Greater Boston Area, East Coast, New England",$10M to $50M,Active,2022-10-26,369440,USD,369440,8,Late Stage Venture,2021-10-19,50000000,USD,50000000,Series F,750600000,USD,750600000
Glitch,https://www.crunchbase.com/organization/glitch,"Enterprise Software, Internet, Productivity Tools, Project Management, Social Network, Software","New York, New York, United States",Glitch is the friendly community where everyone builds the web.,https://glitch.com/,2000-01-01,year,"Administrative Services, Internet Services, Other, Software",101-250,,,-0.2,-0.4,-0.6,221991,USD,221991,77997,USD,77997,19140,USD,19140,,Was Acquired,0,30,0%,,,0%,36,"764,804","799,107.33",-26.97%,"86,166","20,976",32.18%,"Greater New York Area, East Coast, Northeastern US",$10M to $50M,Active,2020-05-22,66749,USD,66749,1,M&A,2019-07-09,30000000,USD,30000000,Series A,30000000,USD,30000000
Metigy,https://www.crunchbase.com/organization/metigy,"Artificial Intelligence, Machine Learning, Marketing, Social Media Marketing, Software","Sydney, New South Wales, Australia",Metigy uses AI and deep learning to deliver real time insights and actions that radically enhance reach and converison,https://metigy.com/,2015-06-01,month,"Artificial Intelligence, Data and Analytics, Sales and Marketing, Science and Engineering, Software",11-50,,,-0.4,-1.1,-0.2,,,,,,,,,,1,Made Acquisitions,,34,0%,,,0%,71,"10,382","27,713.67",-17.81%,"1,794,298","228,539",14.6%,"Asia-Pacific (APAC), Australasia",,Active,,,,,5,Early Stage Venture,2020-11-23,20000000,AUD,14589030,Series B,18639031,USD,18639031
Socure,https://www.crunchbase.com/organization/socure,"Artificial Intelligence, Cyber Security, Identity Management, Machine Learning, Predictive Analytics","Incline Village, Nevada, United States",Socure is a predictive analytics platform for digital identity verification of consumers.,http://www.socure.com,2012-09-01,day,"Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",251-500,,,-0.5,-0.8,-0.6,120927,USD,120927,29165,USD,29165,6161,USD,6161,,,2,34,-2.86%,,,0%,91,"96,687","259,816.17",3.64%,"399,086","7,234",1.85%,Western US,$1M to $10M,Active,2022-06-17,46138,USD,46138,13,Late Stage Venture,2021-11-09,450000000,USD,450000000,Series E,646900000,USD,646900000
Splunk,https://www.crunchbase.com/organization/splunk,"Analytics, Information Technology, Intelligent Systems, Real Time, Software","San Francisco, California, United States","Splunk is a software company that provides operational intelligence software that monitors, reports, and analyzes real-time machine data.",https://www.splunk.com,2003-01-01,year,"Artificial Intelligence, Data and Analytics, Information Technology, Other, Science and Engineering, Software",5001-10000,SPLK,https://www.crunchbase.com/ipo/splunk-ipo--158d3453,-0.6,-2.1,-3.7,321167025,USD,321167025,102006469,USD,102006469,25031441,USD,25031441,16,Made Acquisitions,3.5,112,2.75%,6,,0%,102,"1,761,567","2,640,118.17",-23.84%,"44,499","10,203",29.75%,"San Francisco Bay Area, West Coast, Western US",$500M to $1B,Active,,87296242,USD,87296242,8,IPO,2022-10-16,,,,Post-IPO Equity,2440000000,USD,2440000000
Demandbase,https://www.crunchbase.com/organization/demandbase,"Advertising, Analytics, Marketing, Marketing Automation, SaaS, Sales Automation, Software","San Francisco, California, United States","Demandbase is an account-based marketing, sales intelligence, and data company.",http://www.demandbase.com,2007-01-01,year,"Advertising, Data and Analytics, Information Technology, Sales and Marketing, Software",501-1000,,,-0.5,0,5.2,8985636,USD,8985636,2853945,USD,2853945,700332,USD,700332,5,Made Acquisitions,0.4,88,1.15%,,,,,"57,783","100,516.5",-44.38%,"576,631","214,253",59.12%,"San Francisco Bay Area, West Coast, Western US",$50M to $100M,Active,,2442381,USD,2442381,7,Late Stage Venture,2017-05-25,65000000,USD,65000000,Series H,143000000,USD,143000000
